ss_id	ss_name	ss_lat	ss_long
612	ул.Магистральная(пос.Сорокины Хутора)	53.295872	50.245549
613	пос.Жигулевские Сады	53.285910	50.241384
614	18 км	53.276437	50.266363
615	Автостанция Аврора	53.191015	50.190479
616	Хлебная площадь	53.178994	50.079336
617	Хлебная площадь	53.178936	50.079573
618	ул.Кутякова	53.177377	50.074552
620	ул.Тракторная	53.167853	50.074399
621	ул.Тракторная	53.167911	50.074817
622	Хлебозавод № 3	53.165711	50.073358
623	Хлебозавод № 3	53.165518	50.074721
624	ул.Дарвина	53.164650	50.079323
625	ул.Дарвина	53.164823	50.080214
626	Ростовский пер.	53.163215	50.086973
627	Ростовский пер.	53.163569	50.086662
628	Совхоз Волгарь	53.154730	50.091876
629	Совхоз Волгарь	53.155464	50.091930
630	Казачий переезд	53.147267	50.095084
631	Казачий переезд	53.146971	50.095696
632	ул.4-я Кряжская	53.143148	50.097723
633	ул.4-я Кряжская	53.142852	50.098431
634	ул.1-я Кряжская	53.140342	50.100405
635	ул.1-я Кряжская	53.139924	50.101189
636	Кряж	53.136067	50.105005
637	ул.Князя Григория Засекина	53.176418	50.074313
638	Металлобаза	53.192954	50.251067
639	Металлобаза	53.192986	50.251389
640	Завод Строммашина	53.190865	50.253342
641	Завод Строммашина	53.191109	50.253685
642	ул.Кабельная	53.186790	50.258072
643	ул.Авроры	53.197009	50.190943
644	ул.Энтузиастов	53.197240	50.198834
645	ул.Энтузиастов	53.197320	50.198480
646	ул.Карбышева	53.197407	50.204161
647	ул.Карбышева	53.197487	50.203528
648	Техникум	53.197121	50.214257
649	Техникум	53.197057	50.214659
650	Проезд 9-го Мая	53.196629	50.220507
651	Проезд 9-го Мая	53.196848	50.220543
652	ул.Гагарина	53.201090	50.227405
653	ул.Гагарина	53.201932	50.229975
654	Станция метро Победа	53.206893	50.235951
655	Станция метро Безымянка	53.212627	50.248600
656	Дом Дружбы Народов	53.215229	50.254496
657	Дом Дружбы Народов	53.214995	50.252902
658	Площадь им.Кирова	53.220054	50.264345
659	ул.Юбилейная	53.222154	50.268878
660	ул.Юбилейная	53.222533	50.269441
661	Хлебозавод	53.225922	50.277262
662	Хлебозавод	53.225992	50.277074
663	Железнодорожный музей	53.224810	50.290491
664	Железнодорожный музей	53.224990	50.289203
665	Магазин	53.228793	50.296649
666	Магазин	53.228593	50.294782
668	ул.Магистральная	53.231355	50.305211
669	Развилка	53.234649	50.313805
670	Развилка	53.234521	50.313000
671	ул.Офицерская	53.237969	50.321894
672	ул.Офицерская	53.237918	50.321164
673	ул.Краснопресненская	53.239844	50.326347
674	ул.Краснопресненская	53.240673	50.327698
675	ул.Транзитная	53.243100	50.338513
676	ул.Транзитная	53.243343	50.338577
677	ул.Орловская	53.245828	50.346592
678	ул.Орловская	53.246213	50.347053
679	ул.Грибоедова	53.248062	50.353115
680	ул.Грибоедова	53.248608	50.353802
681	Пост ГИБДД	53.250842	50.359885
682	Пост ГИБДД	53.250341	50.358115
683	Трест № 90	53.252235	50.361698
684	Аэропорт-2	53.250609	50.368903
685	Площадь авиаконструктора Ильюшина	53.252327	50.221939
686	Ипподром	53.252475	50.221391
687	ул.Молодежная	53.256328	50.219820
688	ул.Молодежная	53.255748	50.218999
689	Приволжский микрорайон	53.259792	50.224696
690	ул.Зои Космодемьянской	53.260870	50.227582
691	Приволжский микрорайон	53.258666	50.225633
692	Московское шоссе	53.256692	50.229034
693	Московское шоссе	53.258855	50.232249
694	23 км	53.313698	50.293179
695	23 км	53.314842	50.293500
696	ул.Дмитрия Устинова	53.323339	50.307726
697	Бульвар Ивана Финютина	53.321815	50.312098
698	Бульвар Ивана Финютина	53.321425	50.311551
699	Храм в честь Сретения Господня	53.316772	50.303504
700	Храм в честь Сретения Господня	53.317124	50.303654
701	ул.Мира	53.311568	50.307836
702	ул.Мира	53.312815	50.307600
703	Микрорайон Крутые ключи	53.309470	50.309594
704	Завод ЖБИ	53.125758	50.054377
705	РЭБ	53.143462	50.037811
706	РЭБ	53.143481	50.036905
708	ул.Сельская	53.147393	50.027801
709	ул.Сельская	53.147213	50.027812
710	ТЦ МЕГА Леруа Мерлен	53.325072	50.307208
711	ТЦ  МЕГА ИКЕЯ	53.325046	50.303947
712	Речная	53.175451	50.152322
713	пос.Шмидта	53.176200	50.150554
714	ул.Алма-Атинская	53.247589	50.268900
715	ул.Алма-Атинская	53.247816	50.269029
716	Спецавтоцентр	53.244973	50.270100
717	Спецавтоцентр	53.245403	50.270304
718	Стадион Металлург	53.240602	50.274671
719	Стадион Металлург	53.240625	50.275425
720	Завод Металлург	53.239836	50.279335
721	Завод Металлург	53.240042	50.279442
722	Дом Быта	53.231928	50.276412
723	ул.Победы	53.227867	50.281096
724	ул.Свободы	53.230522	50.278719
725	ул.Елизарова	53.227591	50.280914
726	Барбошина поляна	53.259218	50.216593
727	ул.Молодежная	53.256379	50.218983
728	Восточный пос.	53.223863	50.287254
729	Восточный пос.	53.223689	50.288204
730	Приволжский микрорайон	53.258197	50.226182
731	ул.Псковская	53.213459	50.294523
732	Московское шоссе	53.256411	50.229235
733	Костромской пер.	53.214694	50.293287
734	ТЦ Колизей	53.247628	50.243735
735	Авиационный завод	53.211675	50.296554
736	Авиационный завод	53.212491	50.295872
737	ул.Революционная	53.200304	50.181804
738	ул.Ташкентская	53.246732	50.250538
739	Школьная	53.237179	50.308328
740	Школьная	53.237307	50.307430
741	Завод ЖБИ № 1	53.243416	50.309104
742	Завод ЖБИ № 1	53.243567	50.308272
743	Кинотеатр Луч	53.246678	50.309549
744	Кинотеатр Луч	53.246957	50.308777
745	ул.Чекистов	53.252991	50.310563
